addon_id,label,value,sort_order
1,Dimensions,442.4 x 200 x 43.7 mm,0
1,Weight,1.2 kg,1
1,Material,SGCC Steel,2
1,Mounting,1U Rack Mount,3
2,Length,2.0 m,0
2,Conductor,Copper,1
2,Rating,10A / 250V,2
2,Jacket,PVC,3
3,Data Rate,10 Gbps,0
3,Connector,LC Duplex,1
3,Wavelength,850 nm,2
3,Max Distance,300 m,3
1,Dimensions,442.4 x 200 x 43.7 mm,0
1,Weight,1.2 kg,1
1,Material,SGCC Steel,2
1,Mounting,1U Rack Mount,3
2,Length,2.0 m,0
2,Conductor,Copper,1
2,Rating,10A / 250V,2
2,Jacket,PVC,3
3,Data Rate,10 Gbps,0
3,Connector,LC Duplex,1
3,Wavelength,850 nm,2
3,Max Distance,300 m,3
1,Dimensions,442.4 x 200 x 43.7 mm,0
1,Weight,1.2 kg,1
1,Material,SGCC Steel,2
1,Mounting,1U Rack Mount,3
2,Length,2.0 m,0
2,Conductor,Copper,1
2,Rating,10A / 250V,2
2,Jacket,PVC,3
3,Data Rate,10 Gbps,0
3,Connector,LC Duplex,1
3,Wavelength,850 nm,2
3,Max Distance,300 m,3
1,Dimensions,442.4 x 200 x 43.7 mm,0
1,Weight,1.2 kg,1
1,Material,SGCC Steel,2
1,Mounting,1U Rack Mount,3
2,Length,2.0 m,0
2,Conductor,Copper,1
2,Rating,10A / 250V,2
2,Jacket,PVC,3
3,Data Rate,10 Gbps,0
3,Connector,LC Duplex,1
3,Wavelength,850 nm,2
3,Max Distance,300 m,3
1,Dimensions,442.4 x 200 x 43.7 mm,0
1,Weight,1.2 kg,1
1,Material,SGCC Steel,2
1,Mounting,1U Rack Mount,3
2,Length,2.0 m,0
2,Conductor,Copper,1
2,Rating,10A / 250V,2
2,Jacket,PVC,3
3,Data Rate,10 Gbps,0
3,Connector,LC Duplex,1
3,Wavelength,850 nm,2
3,Max Distance,300 m,3
1,Dimensions,442.4 x 200 x 43.7 mm,0
1,Weight,1.2 kg,1
1,Material,SGCC Steel,2
1,Mounting,1U Rack Mount,3
2,Length,2.0 m,0
2,Conductor,Copper,1
2,Rating,10A / 250V,2
2,Jacket,PVC,3
3,Data Rate,10 Gbps,0
3,Connector,LC Duplex,1
3,Wavelength,850 nm,2
3,Max Distance,300 m,3
1,Dimensions,442.4 x 200 x 43.7 mm,0
1,Weight,1.2 kg,1
1,Material,SGCC Steel,2
1,Mounting,1U Rack Mount,3
2,Length,2.0 m,0
2,Conductor,Copper,1
2,Rating,10A / 250V,2
2,Jacket,PVC,3
3,Data Rate,10 Gbps,0
