addon_id,spec_text,sort_order
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
1,"Compatible with 19"" racks",0
1,Steel construction,1
1,Easy installation,2
2,2m Length,0
2,High durability,1
2,Standard fit,2
3,10Gbps support,0
3,Multi-mode fiber,1
3,Hot-swappable,2
