product_id,image_url,sort_order,is_primary
U-Cable-Patch-RJ45-Indoor,/images/products/Product-CloudKey-Enterprise.png,0,1
U-Cable-Patch-RJ45-Indoor,/images/banners/dcs-overview-1.png,1,0
U-Cable-Patch-RJ45-Indoor,/images/banners/dcs-overview-2.png,2,0
U-Cable-Patch-RJ45-Outdoor,/images/products/Product-CloudKey-Enterprise.png,0,1
U-Cable-Patch-RJ45-Outdoor,/images/banners/dcs-overview-1.png,1,0
U-Cable-Patch-RJ45-Outdoor,/images/banners/dcs-overview-2.png,2,0
UACC-Cable-Patch-EL-0.15M-W,/images/products/Product-CloudKey-Enterprise.png,0,1
UACC-Cable-Patch-EL-0.15M-W,/images/banners/dcs-overview-1.png,1,0
UACC-Cable-Patch-EL-0.15M-W,/images/banners/dcs-overview-2.png,2,0
ENVR,/images/camera.jpg,0,1
ENVR,/images/banners/dcs-overview-1.png,1,0
ENVR,/images/banners/dcs-overview-2.png,2,0
UNVR-Pro,/images/camera.jpg,0,1
UNVR-Pro,/images/banners/dcs-overview-1.png,1,0
UNVR-Pro,/images/banners/dcs-overview-2.png,2,0
UNVR,/images/camera.jpg,0,1
UNVR,/images/banners/dcs-overview-1.png,1,0
UNVR,/images/banners/dcs-overview-2.png,2,0
UNVR-Instant,/images/camera.jpg,0,1
UNVR-Instant,/images/banners/dcs-overview-1.png,1,0
UNVR-Instant,/images/banners/dcs-overview-2.png,2,0
UNVR-Instant-Kit,/images/camera.jpg,0,1
UNVR-Instant-Kit,/images/banners/dcs-overview-1.png,1,0
UNVR-Instant-Kit,/images/banners/dcs-overview-2.png,2,0
AI-Key,/images/camera.jpg,0,1
AI-Key,/images/banners/dcs-overview-1.png,1,0
AI-Key,/images/banners/dcs-overview-2.png,2,0
UP-AI-Port,/images/camera.jpg,0,1
UP-AI-Port,/images/banners/dcs-overview-1.png,1,0
UP-AI-Port,/images/banners/dcs-overview-2.png,2,0
UP-Viewport,/images/camera.jpg,0,1
UP-Viewport,/images/banners/dcs-overview-1.png,1,0
UP-Viewport,/images/banners/dcs-overview-2.png,2,0
UCK-G2-SSD,/images/camera.jpg,0,1
UCK-G2-SSD,/images/banners/dcs-overview-1.png,1,0
UCK-G2-SSD,/images/banners/dcs-overview-2.png,2,0
UVC-G6-Pro-Turret,/images/camera.jpg,0,1
UVC-G6-Pro-Turret,/images/banners/dcs-overview-1.png,1,0
UVC-G6-Pro-Turret,/images/banners/dcs-overview-2.png,2,0
UVC-G6-Pro-Dome,/images/camera.jpg,0,1
UVC-G6-Pro-Dome,/images/banners/dcs-overview-1.png,1,0
UVC-G6-Pro-Dome,/images/banners/dcs-overview-2.png,2,0
UVC-G6-Turret,/images/camera.jpg,0,1
UVC-G6-Turret,/images/banners/dcs-overview-1.png,1,0
UVC-G6-Turret,/images/banners/dcs-overview-2.png,2,0
UVC-G6-Dome,/images/camera.jpg,0,1
UVC-G6-Dome,/images/banners/dcs-overview-1.png,1,0
UVC-G6-Dome,/images/banners/dcs-overview-2.png,2,0
UVC-G6-Pro-360-  ,/images/camera.jpg,0,1
UVC-G6-Pro-360-  ,/images/banners/dcs-overview-1.png,1,0
UVC-G6-Pro-360-  ,/images/banners/dcs-overview-2.png,2,0
UVC-G6-180-B/W,/images/camera.jpg,0,1
UVC-G6-180-B/W,/images/banners/dcs-overview-1.png,1,0
UVC-G6-180-B/W,/images/banners/dcs-overview-2.png,2,0
UVC-G5-Turret-Ultra-B/W,/images/camera.jpg,0,1
UVC-G5-Turret-Ultra-B/W,/images/banners/dcs-overview-1.png,1,0
UVC-G5-Turret-Ultra-B/W,/images/banners/dcs-overview-2.png,2,0
UVC-AI-Turret-B/W,/images/camera.jpg,0,1
UVC-AI-Turret-B/W,/images/banners/dcs-overview-1.png,1,0
UVC-AI-Turret-B/W,/images/banners/dcs-overview-2.png,2,0
UVC-AI-Dome-B/W,/images/camera.jpg,0,1
UVC-AI-Dome-B/W,/images/banners/dcs-overview-1.png,1,0
UVC-AI-Dome-B/W,/images/banners/dcs-overview-2.png,2,0
UVC-AI-360-B/W,/images/camera.jpg,0,1
UVC-AI-360-B/W,/images/banners/dcs-overview-1.png,1,0
UVC-AI-360-B/W,/images/banners/dcs-overview-2.png,2,0
UVC-G5-Dome,/images/camera.jpg,0,1
UVC-G5-Dome,/images/banners/dcs-overview-1.png,1,0
UVC-G5-Dome,/images/banners/dcs-overview-2.png,2,0
UVC-G5-Dome-Ultra-B/W,/images/camera.jpg,0,1
UVC-G5-Dome-Ultra-B/W,/images/banners/dcs-overview-1.png,1,0
UVC-G5-Dome-Ultra-B/W,/images/banners/dcs-overview-2.png,2,0
UVC-AI-MS-4-B/W,/images/camera.jpg,0,1
UVC-AI-MS-4-B/W,/images/banners/dcs-overview-1.png,1,0
UVC-AI-MS-4-B/W,/images/banners/dcs-overview-2.png,2,0
UVC-G6-Pro-Bullet-B/W,/images/camera.jpg,0,1
UVC-G6-Pro-Bullet-B/W,/images/banners/dcs-overview-1.png,1,0
UVC-G6-Pro-Bullet-B/W,/images/banners/dcs-overview-2.png,2,0
UVC-G6-Bullet-B/W,/images/camera.jpg,0,1
UVC-G6-Bullet-B/W,/images/banners/dcs-overview-1.png,1,0
UVC-G6-Bullet-B/W,/images/banners/dcs-overview-2.png,2,0
UVC-AI-LPR-B/W,/images/camera.jpg,0,1
UVC-AI-LPR-B/W,/images/banners/dcs-overview-1.png,1,0
UVC-AI-LPR-B/W,/images/banners/dcs-overview-2.png,2,0
UVC-AI-DSLR-B/W,/images/camera.jpg,0,1
UVC-AI-DSLR-B/W,/images/banners/dcs-overview-1.png,1,0
UVC-AI-DSLR-B/W,/images/banners/dcs-overview-2.png,2,0
UVC-AI-Pro-B/W,/images/camera.jpg,0,1
UVC-AI-Pro-B/W,/images/banners/dcs-overview-1.png,1,0
UVC-AI-Pro-B/W,/images/banners/dcs-overview-2.png,2,0
UVC-G5-Pro,/images/camera.jpg,0,1
UVC-G5-Pro,/images/banners/dcs-overview-1.png,1,0
UVC-G5-Pro,/images/banners/dcs-overview-2.png,2,0
UVC-G5-Bullet,/images/camera.jpg,0,1
UVC-G5-Bullet,/images/banners/dcs-overview-1.png,1,0
UVC-G5-Bullet,/images/banners/dcs-overview-2.png,2,0
UVC-G6-INS-W,/images/camera.jpg,0,1
UVC-G6-INS-W,/images/banners/dcs-overview-1.png,1,0
UVC-G6-INS-W,/images/banners/dcs-overview-2.png,2,0
UVC-AI-Theta-Pro-W,/images/camera.jpg,0,1
UVC-AI-Theta-Pro-W,/images/banners/dcs-overview-1.png,1,0
UVC-AI-Theta-Pro-W,/images/banners/dcs-overview-2.png,2,0
UVC-G5-Flex,/images/camera.jpg,0,1
UVC-G5-Flex,/images/banners/dcs-overview-1.png,1,0
UVC-G5-Flex,/images/banners/dcs-overview-2.png,2,0
UVC-G4-INS,/images/camera.jpg,0,1
UVC-G4-INS,/images/banners/dcs-overview-1.png,1,0
UVC-G4-INS,/images/banners/dcs-overview-2.png,2,0
UVC-AI-Theta-Audio,/images/camera.jpg,0,1
UVC-AI-Theta-Audio,/images/banners/dcs-overview-1.png,1,0
UVC-AI-Theta-Audio,/images/banners/dcs-overview-2.png,2,0
UVC-AI-Theta-ProLens50,/images/camera.jpg,0,1
UVC-AI-Theta-ProLens50,/images/banners/dcs-overview-1.png,1,0
UVC-AI-Theta-ProLens50,/images/banners/dcs-overview-2.png,2,0
UVC-G6-PTZ-B/W,/images/camera.jpg,0,1
UVC-G6-PTZ-B/W,/images/banners/dcs-overview-1.png,1,0
UVC-G6-PTZ-B/W,/images/banners/dcs-overview-2.png,2,0
UVC-AI-PTZ-B/W,/images/camera.jpg,0,1
UVC-AI-PTZ-B/W,/images/banners/dcs-overview-1.png,1,0
UVC-AI-PTZ-B/W,/images/banners/dcs-overview-2.png,2,0
UVC-AI-PTZ-Precision-B/W,/images/camera.jpg,0,1
UVC-AI-PTZ-Precision-B/W,/images/banners/dcs-overview-1.png,1,0
UVC-AI-PTZ-Precision-B/W,/images/banners/dcs-overview-2.png,2,0
UVC-G5-PTZ-B/W,/images/camera.jpg,0,1
UVC-G5-PTZ-B/W,/images/banners/dcs-overview-1.png,1,0
UVC-G5-PTZ-B/W,/images/banners/dcs-overview-2.png,2,0
UVC-4-Doorbell-Pro-PoE-Kit-B/W,/images/camera.jpg,0,1
UVC-4-Doorbell-Pro-PoE-Kit-B/W,/images/banners/dcs-overview-1.png,1,0
UVC-4-Doorbell-Pro-PoE-Kit-B/W,/images/banners/dcs-overview-2.png,2,0
UVC-4-Doorbell-Pro-B/W,/images/camera.jpg,0,1
UVC-4-Doorbell-Pro-B/W,/images/banners/dcs-overview-1.png,1,0
UVC-4-Doorbell-Pro-B/W,/images/banners/dcs-overview-2.png,2,0
UVC-Doorbell-B/W,/images/camera.jpg,0,1
UVC-Doorbell-B/W,/images/banners/dcs-overview-1.png,1,0
UVC-Doorbell-B/W,/images/banners/dcs-overview-2.png,2,0
UVC-Chime-PoE,/images/camera.jpg,0,1
UVC-Chime-PoE,/images/banners/dcs-overview-1.png,1,0
UVC-Chime-PoE,/images/banners/dcs-overview-2.png,2,0
UVC-Chime,/images/camera.jpg,0,1
UVC-Chime,/images/banners/dcs-overview-1.png,1,0
UVC-Chime,/images/banners/dcs-overview-2.png,2,0
USL-Gateway,/images/camera.jpg,0,1
USL-Gateway,/images/banners/dcs-overview-1.png,1,0
USL-Gateway,/images/banners/dcs-overview-2.png,2,0
USL-Entry,/images/products/Product-Entry-Sensor.png,0,1
USL-Entry,/images/banners/dcs-overview-1.png,1,0
USL-Entry,/images/banners/dcs-overview-2.png,2,0
USL-Motion,/images/camera.jpg,0,1
USL-Motion,/images/banners/dcs-overview-1.png,1,0
USL-Motion,/images/banners/dcs-overview-2.png,2,0
USL-Siren,/images/camera.jpg,0,1
USL-Siren,/images/banners/dcs-overview-1.png,1,0
USL-Siren,/images/banners/dcs-overview-2.png,2,0
USL-Siren-PoE,/images/camera.jpg,0,1
USL-Siren-PoE,/images/banners/dcs-overview-1.png,1,0
USL-Siren-PoE,/images/banners/dcs-overview-2.png,2,0
USL-Environmental,/images/camera.jpg,0,1
USL-Environmental,/images/banners/dcs-overview-1.png,1,0
USL-Environmental,/images/banners/dcs-overview-2.png,2,0
UP-Sense,/images/camera.jpg,0,1
UP-Sense,/images/banners/dcs-overview-1.png,1,0
UP-Sense,/images/banners/dcs-overview-2.png,2,0
USL-GlassBreak,/images/camera.jpg,0,1
USL-GlassBreak,/images/banners/dcs-overview-1.png,1,0
USL-GlassBreak,/images/banners/dcs-overview-2.png,2,0
UACC-USL-ANT-HG,/images/camera.jpg,0,1
UACC-USL-ANT-HG,/images/banners/dcs-overview-1.png,1,0
UACC-USL-ANT-HG,/images/banners/dcs-overview-2.png,2,0
UP-AI-Horn-Speaker-B/W,/images/camera.jpg,0,1
UP-AI-Horn-Speaker-B/W,/images/banners/dcs-overview-1.png,1,0
UP-AI-Horn-Speaker-B/W,/images/banners/dcs-overview-2.png,2,0
UP-FloodLight,/images/camera.jpg,0,1
UP-FloodLight,/images/banners/dcs-overview-1.png,1,0
UP-FloodLight,/images/banners/dcs-overview-2.png,2,0
UACC-Adapter-PoE-USBC,/images/camera.jpg,0,1
UACC-Adapter-PoE-USBC,/images/banners/dcs-overview-1.png,1,0
UACC-Adapter-PoE-USBC,/images/banners/dcs-overview-2.png,2,0
UACC-Camera-CJB-B/W,/images/camera.jpg,0,1
UACC-Camera-CJB-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-Camera-CJB-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-Camera-CJB-B/W,/images/camera.jpg,0,1
UACC-Camera-CJB-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-Camera-CJB-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-Camera-JB-B/W,/images/camera.jpg,0,1
UACC-Camera-JB-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-Camera-JB-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-AI-JB-B/W,/images/camera.jpg,0,1
UACC-AI-JB-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-AI-JB-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-G4-Dome-Arm-Mount,/images/camera.jpg,0,1
UACC-G4-Dome-Arm-Mount,/images/banners/dcs-overview-1.png,1,0
UACC-G4-Dome-Arm-Mount,/images/banners/dcs-overview-2.png,2,0
UACC-Camera-AM-B,/images/camera.jpg,0,1
UACC-Camera-AM-B,/images/banners/dcs-overview-1.png,1,0
UACC-Camera-AM-B,/images/banners/dcs-overview-2.png,2,0
UACC-Bullet-AB-B,/images/camera.jpg,0,1
UACC-Bullet-AB-B,/images/banners/dcs-overview-1.png,1,0
UACC-Bullet-AB-B,/images/banners/dcs-overview-2.png,2,0
UACC-Pro-Bullet-Enhancer-B/W,/images/camera.jpg,0,1
UACC-Pro-Bullet-Enhancer-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-Pro-Bullet-Enhancer-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-AI-Pro-Enhancer-B/W,/images/camera.jpg,0,1
UACC-AI-Pro-Enhancer-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-AI-Pro-Enhancer-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-G5-Enhancer,/images/camera.jpg,0,1
UACC-G5-Enhancer,/images/banners/dcs-overview-1.png,1,0
UACC-G5-Enhancer,/images/banners/dcs-overview-2.png,2,0
UVC-G4-IRExtender,/images/camera.jpg,0,1
UVC-G4-IRExtender,/images/banners/dcs-overview-1.png,1,0
UVC-G4-IRExtender,/images/banners/dcs-overview-2.png,2,0
UACC-Camera-DM-B/W,/images/camera.jpg,0,1
UACC-Camera-DM-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-Camera-DM-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-GB-Plate-B/W,/images/camera.jpg,0,1
UACC-GB-Plate-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-GB-Plate-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-Dome-FM-B/W,/images/camera.jpg,0,1
UACC-Dome-FM-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-Dome-FM-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-G6-Pro-360-FM-B/W,/images/camera.jpg,0,1
UACC-G6-Pro-360-FM-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-G6-Pro-360-FM-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-G6-Dome-FM-B/W,/images/camera.jpg,0,1
UACC-G6-Dome-FM-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-G6-Dome-FM-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-G6-Dome-FMS-B/W,/images/camera.jpg,0,1
UACC-G6-Dome-FMS-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-G6-Dome-FMS-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-G5-Dome-Ultra-FM-B/W,/images/camera.jpg,0,1
UACC-G5-Dome-Ultra-FM-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-G5-Dome-Ultra-FM-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-G5-Dome-Ultra-FM-SB-B/W,/images/camera.jpg,0,1
UACC-G5-Dome-Ultra-FM-SB-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-G5-Dome-Ultra-FM-SB-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-G6-Dome-WS-B/W,/images/camera.jpg,0,1
UACC-G6-Dome-WS-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-G6-Dome-WS-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-Dome-WS-B/W,/images/camera.jpg,0,1
UACC-Dome-WS-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-Dome-WS-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-G6-180-FM-B/W,/images/camera.jpg,0,1
UACC-G6-180-FM-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-G6-180-FM-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-G6-180-PM-B/W,/images/camera.jpg,0,1
UACC-G6-180-PM-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-G6-180-PM-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-G5-PTZ-CM-B/W,/images/camera.jpg,0,1
UACC-G5-PTZ-CM-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-G5-PTZ-CM-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-G5-PTZ-PM-B/W,/images/camera.jpg,0,1
UACC-G5-PTZ-PM-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-G5-PTZ-PM-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-G5-PTZ-SM-B/W,/images/camera.jpg,0,1
UACC-G5-PTZ-SM-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-G5-PTZ-SM-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-G5-PTZ-ICM-SB-B/W,/images/camera.jpg,0,1
UACC-G5-PTZ-ICM-SB-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-G5-PTZ-ICM-SB-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-G6-PTZ-ICM-B/W,/images/camera.jpg,0,1
UACC-G6-PTZ-ICM-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-G6-PTZ-ICM-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-G5-PTZ-CA-B/W,/images/camera.jpg,0,1
UACC-G5-PTZ-CA-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-G5-PTZ-CA-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-Flex-Cam-PWM-B/W,/images/camera.jpg,0,1
UACC-Flex-Cam-PWM-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-Flex-Cam-PWM-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-G4 Doorbell Pro PoE-Gang Box-White-B/W,/images/camera.jpg,0,1
UACC-G4 Doorbell Pro PoE-Gang Box-White-B/W,/images/banners/dcs-overview-1.png,1,0
UACC-G4 Doorbell Pro PoE-Gang Box-White-B/W,/images/banners/dcs-overview-2.png,2,0
UACC-G4-DBP-Cable-USB-7M,/images/camera.jpg,0,1
UACC-G4-DBP-Cable-USB-7M,/images/banners/dcs-overview-1.png,1,0
UACC-G4-DBP-Cable-USB-7M,/images/banners/dcs-overview-2.png,2,0
UACC-G4-INS-Cable-USB-4.5M,/images/camera.jpg,0,1
UACC-G4-INS-Cable-USB-4.5M,/images/banners/dcs-overview-1.png,1,0
UACC-G4-INS-Cable-USB-4.5M,/images/banners/dcs-overview-2.png,2,0
UACC-G4-INS-Cover-DG/G/LG,/images/camera.jpg,0,1
UACC-G4-INS-Cover-DG/G/LG,/images/banners/dcs-overview-1.png,1,0
UACC-G4-INS-Cover-DG/G/LG,/images/banners/dcs-overview-2.png,2,0
UACC-AI-Theta-Audio-Cable-1M,/images/camera.jpg,0,1
UACC-AI-Theta-Audio-Cable-1M,/images/banners/dcs-overview-1.png,1,0
UACC-AI-Theta-Audio-Cable-1M,/images/banners/dcs-overview-2.png,2,0
UACC-AI-Theta-Audio-Cable-Ext-10M,/images/camera.jpg,0,1
UACC-AI-Theta-Audio-Cable-Ext-10M,/images/banners/dcs-overview-1.png,1,0
UACC-AI-Theta-Audio-Cable-Ext-10M,/images/banners/dcs-overview-2.png,2,0
efg,/images/products/Product-Enterprise-Fortress-Gateway.png,0,1
efg,/images/banners/dcs-overview-1.png,1,0
efg,/images/banners/dcs-overview-2.png,2,0
udm-pro-max,/images/products/Product-Dream-Machine-Pro-Max.png,0,1
udm-pro-max,/images/banners/dcs-overview-1.png,1,0
udm-pro-max,/images/banners/dcs-overview-2.png,2,0
udm-pro,/images/products/Product-Dream-Machine-Pro.png,0,1
udm-pro,/images/banners/dcs-overview-1.png,1,0
udm-pro,/images/banners/dcs-overview-2.png,2,0
udm-se,/images/products/Product-Enterprise-Fortress-Gateway.png,0,1
udm-se,/images/banners/dcs-overview-1.png,1,0
udm-se,/images/banners/dcs-overview-2.png,2,0
ucg-fiber,/images/products/Product-UCG-Fiber.png,0,1
ucg-fiber,/images/banners/dcs-overview-1.png,1,0
ucg-fiber,/images/banners/dcs-overview-2.png,2,0
ucg-max,/images/products/Product-UCG-Max.png,0,1
ucg-max,/images/banners/dcs-overview-1.png,1,0
ucg-max,/images/banners/dcs-overview-2.png,2,0
ucg-ultra,/images/products/Product-UCG-Ultra.png,0,1
ucg-ultra,/images/banners/dcs-overview-1.png,1,0
ucg-ultra,/images/banners/dcs-overview-2.png,2,0
udr-7,/images/products/Product-UDR-7.png,0,1
udr-7,/images/banners/dcs-overview-1.png,1,0
udr-7,/images/banners/dcs-overview-2.png,2,0
ux-7,/images/products/Product-UniFi-Express-7.png,0,1
ux-7,/images/banners/dcs-overview-1.png,1,0
ux-7,/images/banners/dcs-overview-2.png,2,0
udr-5g-max,/images/products/Product-UDR-5G-Max.png,0,1
udr-5g-max,/images/banners/dcs-overview-1.png,1,0
udr-5g-max,/images/banners/dcs-overview-2.png,2,0
UDW,/images/products/Product-UDW.png,0,1
UDW,/images/banners/dcs-overview-1.png,1,0
UDW,/images/banners/dcs-overview-2.png,2,0
UVC-G6-Pro-Entry,/images/camera.jpg,0,1
UVC-G6-Pro-Entry,/images/banners/dcs-overview-1.png,1,0
UVC-G6-Pro-Entry,/images/banners/dcs-overview-2.png,2,0
UVC-G6-Entry,/images/products/Product-G6-Entry.png,0,1
UVC-G6-Entry,/images/banners/dcs-overview-1.png,1,0
UVC-G6-Entry,/images/banners/dcs-overview-2.png,2,0
UA-G3-Pro-B/W,/images/camera.jpg,0,1
UA-G3-Pro-B/W,/images/banners/dcs-overview-1.png,1,0
UA-G3-Pro-B/W,/images/banners/dcs-overview-2.png,2,0
UA-G2-Pro-B/W,/images/camera.jpg,0,1
UA-G2-Pro-B/W,/images/banners/dcs-overview-1.png,1,0
UA-G2-Pro-B/W,/images/banners/dcs-overview-2.png,2,0
