product_id,item_name,item_image,sort_order
ENVR,Device,/images/dcs-box.png,0
ENVR,Mounting Kit,/images/dcs-box.png,1
ENVR,Power Cable,/images/dcs-box.png,2
ENVR,Quick Start,/images/dcs-box.png,3
UNVR-Pro,Device,/images/dcs-box.png,0
UNVR-Pro,Mounting Kit,/images/dcs-box.png,1
UNVR-Pro,Power Cable,/images/dcs-box.png,2
UNVR-Pro,Quick Start,/images/dcs-box.png,3
UNVR,Device,/images/dcs-box.png,0
UNVR,Mounting Kit,/images/dcs-box.png,1
UNVR,Power Cable,/images/dcs-box.png,2
UNVR,Quick Start,/images/dcs-box.png,3
UNVR-Instant,Device,/images/dcs-box.png,0
UNVR-Instant,Mounting Kit,/images/dcs-box.png,1
UNVR-Instant,Power Cable,/images/dcs-box.png,2
UNVR-Instant,Quick Start,/images/dcs-box.png,3
UNVR-Instant-Kit,Device,/images/dcs-box.png,0
UNVR-Instant-Kit,Mounting Kit,/images/dcs-box.png,1
UNVR-Instant-Kit,Power Cable,/images/dcs-box.png,2
UNVR-Instant-Kit,Quick Start,/images/dcs-box.png,3
AI-Key,Device,/images/dcs-box.png,0
AI-Key,Mounting Kit,/images/dcs-box.png,1
AI-Key,Power Cable,/images/dcs-box.png,2
AI-Key,Quick Start,/images/dcs-box.png,3
UP-AI-Port,Device,/images/dcs-box.png,0
UP-AI-Port,Mounting Kit,/images/dcs-box.png,1
UP-AI-Port,Power Cable,/images/dcs-box.png,2
UP-AI-Port,Quick Start,/images/dcs-box.png,3
UP-Viewport,Device,/images/dcs-box.png,0
UP-Viewport,Mounting Kit,/images/dcs-box.png,1
UP-Viewport,Power Cable,/images/dcs-box.png,2
UP-Viewport,Quick Start,/images/dcs-box.png,3
UCK-G2-SSD,Device,/images/dcs-box.png,0
UCK-G2-SSD,Mounting Kit,/images/dcs-box.png,1
UCK-G2-SSD,Power Cable,/images/dcs-box.png,2
UCK-G2-SSD,Quick Start,/images/dcs-box.png,3
UVC-G6-Pro-Turret,Device,/images/dcs-box.png,0
UVC-G6-Pro-Turret,Mounting Kit,/images/dcs-box.png,1
UVC-G6-Pro-Turret,Power Cable,/images/dcs-box.png,2
UVC-G6-Pro-Turret,Quick Start,/images/dcs-box.png,3
UVC-G6-Pro-Dome,Device,/images/dcs-box.png,0
UVC-G6-Pro-Dome,Mounting Kit,/images/dcs-box.png,1
UVC-G6-Pro-Dome,Power Cable,/images/dcs-box.png,2
UVC-G6-Pro-Dome,Quick Start,/images/dcs-box.png,3
UVC-G6-Turret,Device,/images/dcs-box.png,0
UVC-G6-Turret,Mounting Kit,/images/dcs-box.png,1
UVC-G6-Turret,Power Cable,/images/dcs-box.png,2
UVC-G6-Turret,Quick Start,/images/dcs-box.png,3
UVC-G6-Dome,Device,/images/dcs-box.png,0
UVC-G6-Dome,Mounting Kit,/images/dcs-box.png,1
UVC-G6-Dome,Power Cable,/images/dcs-box.png,2
UVC-G6-Dome,Quick Start,/images/dcs-box.png,3
UVC-G6-Pro-360-  ,Device,/images/dcs-box.png,0
UVC-G6-Pro-360-  ,Mounting Kit,/images/dcs-box.png,1
UVC-G6-Pro-360-  ,Power Cable,/images/dcs-box.png,2
UVC-G6-Pro-360-  ,Quick Start,/images/dcs-box.png,3
UVC-G6-180-B/W,Device,/images/dcs-box.png,0
UVC-G6-180-B/W,Mounting Kit,/images/dcs-box.png,1
UVC-G6-180-B/W,Power Cable,/images/dcs-box.png,2
UVC-G6-180-B/W,Quick Start,/images/dcs-box.png,3
UVC-G5-Turret-Ultra-B/W,Device,/images/dcs-box.png,0
UVC-G5-Turret-Ultra-B/W,Mounting Kit,/images/dcs-box.png,1
UVC-G5-Turret-Ultra-B/W,Power Cable,/images/dcs-box.png,2
UVC-G5-Turret-Ultra-B/W,Quick Start,/images/dcs-box.png,3
UVC-AI-Turret-B/W,Device,/images/dcs-box.png,0
UVC-AI-Turret-B/W,Mounting Kit,/images/dcs-box.png,1
UVC-AI-Turret-B/W,Power Cable,/images/dcs-box.png,2
UVC-AI-Turret-B/W,Quick Start,/images/dcs-box.png,3
UVC-AI-Dome-B/W,Device,/images/dcs-box.png,0
UVC-AI-Dome-B/W,Mounting Kit,/images/dcs-box.png,1
UVC-AI-Dome-B/W,Power Cable,/images/dcs-box.png,2
UVC-AI-Dome-B/W,Quick Start,/images/dcs-box.png,3
UVC-AI-360-B/W,Device,/images/dcs-box.png,0
UVC-AI-360-B/W,Mounting Kit,/images/dcs-box.png,1
UVC-AI-360-B/W,Power Cable,/images/dcs-box.png,2
UVC-AI-360-B/W,Quick Start,/images/dcs-box.png,3
UVC-G5-Dome,Device,/images/dcs-box.png,0
UVC-G5-Dome,Mounting Kit,/images/dcs-box.png,1
UVC-G5-Dome,Power Cable,/images/dcs-box.png,2
UVC-G5-Dome,Quick Start,/images/dcs-box.png,3
