product_id,label,value,sort_order
U-Cable-Patch-RJ45-Indoor,Resolution,4K (8MP),0
U-Cable-Patch-RJ45-Indoor,Night Vision,25m (82ft) IR,1
U-Cable-Patch-RJ45-Indoor,Zoom,3x Optical,2
U-Cable-Patch-RJ45-Indoor,Audio,Two-way Audio,3
U-Cable-Patch-RJ45-Outdoor,Resolution,4K (8MP),0
U-Cable-Patch-RJ45-Outdoor,Night Vision,25m (82ft) IR,1
U-Cable-Patch-RJ45-Outdoor,Zoom,3x Optical,2
U-Cable-Patch-RJ45-Outdoor,Audio,Two-way Audio,3
UACC-Cable-Patch-EL-0.15M-W,Resolution,4K (8MP),0
UACC-Cable-Patch-EL-0.15M-W,Night Vision,25m (82ft) IR,1
UACC-Cable-Patch-EL-0.15M-W,Zoom,3x Optical,2
UACC-Cable-Patch-EL-0.15M-W,Audio,Two-way Audio,3
ENVR,Resolution,4K (8MP),0
ENVR,Night Vision,25m (82ft) IR,1
ENVR,Zoom,3x Optical,2
ENVR,Audio,Two-way Audio,3
UNVR-Pro,Resolution,4K (8MP),0
UNVR-Pro,Night Vision,25m (82ft) IR,1
UNVR-Pro,Zoom,3x Optical,2
UNVR-Pro,Audio,Two-way Audio,3
UNVR,Resolution,4K (8MP),0
UNVR,Night Vision,25m (82ft) IR,1
UNVR,Zoom,3x Optical,2
UNVR,Audio,Two-way Audio,3
UNVR-Instant,Resolution,4K (8MP),0
UNVR-Instant,Night Vision,25m (82ft) IR,1
UNVR-Instant,Zoom,3x Optical,2
UNVR-Instant,Audio,Two-way Audio,3
UNVR-Instant-Kit,Resolution,4K (8MP),0
UNVR-Instant-Kit,Night Vision,25m (82ft) IR,1
UNVR-Instant-Kit,Zoom,3x Optical,2
UNVR-Instant-Kit,Audio,Two-way Audio,3
AI-Key,Resolution,4K (8MP),0
AI-Key,Night Vision,25m (82ft) IR,1
AI-Key,Zoom,3x Optical,2
AI-Key,Audio,Two-way Audio,3
UP-AI-Port,Resolution,4K (8MP),0
UP-AI-Port,Night Vision,25m (82ft) IR,1
UP-AI-Port,Zoom,3x Optical,2
UP-AI-Port,Audio,Two-way Audio,3
UP-Viewport,Resolution,4K (8MP),0
UP-Viewport,Night Vision,25m (82ft) IR,1
UP-Viewport,Zoom,3x Optical,2
UP-Viewport,Audio,Two-way Audio,3
UCK-G2-SSD,Resolution,4K (8MP),0
UCK-G2-SSD,Night Vision,25m (82ft) IR,1
UCK-G2-SSD,Zoom,3x Optical,2
UCK-G2-SSD,Audio,Two-way Audio,3
UVC-G6-Pro-Turret,Resolution,4K (8MP),0
UVC-G6-Pro-Turret,Night Vision,25m (82ft) IR,1
UVC-G6-Pro-Turret,Zoom,3x Optical,2
UVC-G6-Pro-Turret,Audio,Two-way Audio,3
UVC-G6-Pro-Dome,Resolution,4K (8MP),0
UVC-G6-Pro-Dome,Night Vision,25m (82ft) IR,1
UVC-G6-Pro-Dome,Zoom,3x Optical,2
UVC-G6-Pro-Dome,Audio,Two-way Audio,3
UVC-G6-Turret,Resolution,4K (8MP),0
UVC-G6-Turret,Night Vision,25m (82ft) IR,1
UVC-G6-Turret,Zoom,3x Optical,2
UVC-G6-Turret,Audio,Two-way Audio,3
UVC-G6-Dome,Resolution,4K (8MP),0
UVC-G6-Dome,Night Vision,25m (82ft) IR,1
UVC-G6-Dome,Zoom,3x Optical,2
UVC-G6-Dome,Audio,Two-way Audio,3
UVC-G6-Pro-360-  ,Resolution,4K (8MP),0
